Filial;Pedido;Ped EBS;Razão Social;Fim Ciclo;OTIF;ON_TIME;IN_FULL;Data Emissão;Data Previsão;Data Ult Ent;Prev KG;Entregue KG;Cancel KG;Pendente KG;CNPJ
20;27439306;33544577;E. GONCALVES DE SOUZA ME;S;S;S;S;29/01/2022;01/02/2022;01/02/2022;29,8;29,799961;0;3,90E-05;1,55257E+13
421;92213526;33539829;MARIA CLEIA COSTA ME;S;S;S;S;28/01/2022;10/02/2022;01/02/2022;30,6;30,6;0;0;4,70787E+12
433;59531724;33400958;NOSSO ATACAREJO COMERCIO DE GENEROS ALIM;S;N;N;S;23/12/2021;10/01/2022;01/02/2022;2000;2000;0;0;2,91422E+13
433;59536343;33530987;NOSSO ATACAREJO COMERCIO DE GENEROS ALIM;S;S;S;S;31/12/2021;04/02/2022;01/02/2022;1200;1200;0;0;2,91422E+13
433;59536344;33530985;NOSSO ATACAREJO COMERCIO DE GENEROS ALIM;S;S;S;S;31/12/2021;04/02/2022;01/02/2022;1200;1200;0;0;2,91422E+13
01M;35570728;33533983;COMERCIAL DE ALIMENTOS SAN GERARDO LTDA;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;165,924;106,144;59,78;0;6,33955E+12
01M;35570730;33533986;COMERCIAL DE ALIMENTOS SAN GERARDO LTDA;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;420,768;408,6;12,168;-5,68E-14;6,33955E+12
01M;35570731;33533988;COMERCIAL DE ALIMENTOS SAN GERARDO LTDA;S;N;N;N;27/01/2022;31/01/2022;01/02/2022;259,4;241,4;18;0;6,33955E+12
21;30266010;33525233;CLAUDIA DE SOUZA E SOUZA 02594821292;S;S;S;S;26/01/2022;03/02/2022;01/02/2022;8,2;8,2;0;0;4,14569E+13
21;66788922;33525234;CLAUDIA DE SOUZA E SOUZA 02594821292;S;S;S;S;26/01/2022;03/02/2022;01/02/2022;108,6;108,6;0;0;4,14569E+13
21;24464830;33511274;LAURA DE BRITO SILVA;N;;;;24/01/2022;03/02/2022;01/02/2022;33,68;31,76;0;1,92;1,10341E+13
01M;42746497;33548142;CENCOSUD BRASIL COMERCIAL S/A;S;N;S;N;31/01/2022;01/02/2022;01/02/2022;1224,532;1030,976;193,556;-2,27E-13;3,93469E+13
01M;42745083;33530172;CENCOSUD BRASIL COMERCIAL S/A;S;N;N;S;24/01/2022;28/01/2022;01/02/2022;7;7;0;0;3,93469E+13
421;52552384;33525323;AIRTON DE ARAUJO CHAGAS;S;S;S;S;26/01/2022;03/02/2022;01/02/2022;115,185;115,185;0;0;7,79745E+12
20;36585896;33535014;J B DINIZ COML DE ALIM EIRELI;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;10;10;0;0;8,71487E+12
01M;26912097;33486321;FRANCISCO ANTONIO DE BRITO - ME;S;N;N;N;19/01/2022;21/01/2022;01/02/2022;231,75;213,52;18,23;2,84E-14;4,14375E+13
01M;26912126;33518949;FRANCISCO ANTONIO DE BRITO - ME;N;;;;25/01/2022;27/01/2022;01/02/2022;260,904;217,904;0;43;4,14375E+13
01M;46673497;33300788;JORGE BATISTA & CIA LTDA;N;;;;15/12/2021;30/12/2021;01/02/2022;26108;22704;3200;204;7,22219E+12
01M;6507529;33157891;JORGE BATISTA & CIA LTDA;S;N;N;S;22/11/2021;06/12/2021;01/02/2022;17994,35;17994,35;0;0;7,22219E+12
01M;93991032;33536470;JORGE BATISTA & CIA LTDA;N;;;;28/01/2022;07/02/2022;01/02/2022;9864;9650,88;0;213,12;7,22219E+12
20;75150587;33508689;SEBASTIAO ANGELO VIDAL;N;;;;24/01/2022;03/02/2022;01/02/2022;94,84;45,8;0;49,04;1,16861E+13
20;75150588;33508690;SEBASTIAO ANGELO VIDAL;S;N;S;N;24/01/2022;03/02/2022;01/02/2022;39,66;29,22;10,44;0;1,16861E+13
421;90070880;33538066;MARIA DA CONCEICAO SEVERO DE OLIVEIRA -;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;1460;1460;0;0;7,05432E+12
421;90070881;33538067;MARIA DA CONCEICAO SEVERO DE OLIVEIRA -;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;200;200;0;0;7,05432E+12
01M;26912132;33522209;VICENTE BARROS DE LIMA NETO ME;S;N;N;N;26/01/2022;27/01/2022;01/02/2022;76,2;59,2;17;0;7,9165E+12
01M;24020058;33477216;SUPERMERCADO CLIMAR LTDA;N;;;;18/01/2022;19/01/2022;01/02/2022;267,425;202,175;0;65,25;7,21202E+13
20;35474014;33458998;VALDENI AMORIM DE ANDRADE ME;S;N;N;N;14/01/2022;20/01/2022;01/02/2022;296,156;219,666;76,49;0;9,55843E+12
20;35474105;33539479;VALDENI AMORIM DE ANDRADE ME;S;N;S;N;28/01/2022;03/02/2022;01/02/2022;336,868;252,028;84,84;0;9,55843E+12
20;35474106;33539480;VALDENI AMORIM DE ANDRADE ME;S;S;S;S;28/01/2022;03/02/2022;01/02/2022;28,8;28,8;0;0;9,55843E+12
20;36585875;33514488;JOSE LIBERITON DA SILVA 09365966353;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;13,02;13,02;0;0;3,37505E+13
01M;76653000;33547341;DIEMYSON LIMA DUARTE - ME;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;420;420;0;0;2,21705E+13
01M;30266489;33550870;COMERCIAL POPULAR DE BEBIDAS E ALIMENTOS;S;S;S;S;28/01/2022;02/02/2022;01/02/2022;204;204;0;0;1,07572E+13
01M;58911327;33499235;COMERCIAL POPULAR DE BEBIDAS E ALIMENTOS;S;N;N;S;21/01/2022;25/01/2022;01/02/2022;1076,4;1076,4;0;0;1,07572E+13
01M;58911354;33550871;COMERCIAL POPULAR DE BEBIDAS E ALIMENTOS;S;S;S;S;28/01/2022;02/02/2022;01/02/2022;480;480;0;0;1,07572E+13
01M;58911355;33550876;COMERCIAL POPULAR DE BEBIDAS E ALIMENTOS;N;;;;31/01/2022;02/02/2022;01/02/2022;1643,8;1363;0;280,8;1,07572E+13
01M;58911356;33550877;COMERCIAL POPULAR DE BEBIDAS E ALIMENTOS;N;;;;31/01/2022;02/02/2022;01/02/2022;2726,9;1652;0;1074,9;1,07572E+13
20;93766826;33543115;CARLOS FERNANDO LOBO ME;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;22,808;21,84784352;0,96015648;0;3,50116E+13
21;73909118;33455657;RAIMUNDO JOSE DE PAULO GOMES 98670867320;N;;;;13/01/2022;19/01/2022;01/02/2022;99,2;94,4;0;4,8;1,3585E+13
21;73909167;33530076;RAIMUNDO JOSE DE PAULO GOMES 98670867320;N;;;;27/01/2022;02/02/2022;01/02/2022;89,4;82,2;0;7,2;1,3585E+13
21;73909168;33530077;RAIMUNDO JOSE DE PAULO GOMES 98670867320;S;S;S;S;27/01/2022;02/02/2022;01/02/2022;8;8;0;0;1,3585E+13
421;15379095;33538001;ROBERIO MENEZES COSTA ME;S;N;S;N;28/01/2022;03/02/2022;01/02/2022;98,13;76,96;21,17;0;7,39946E+13
01M;62150689;33541270;JG COMERCIAL DE ALIMENTOS EIRELI - ME;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;8000;8000;0;0;2,18876E+13
01M;62150690;33541271;JG COMERCIAL DE ALIMENTOS EIRELI - ME;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;360;360;0;0;2,18876E+13
421;74844536;33437320;CLEIDE C DE ALMEIDA ME;S;N;N;S;11/01/2022;20/01/2022;01/02/2022;72;72;0;0;5,75656E+12
421;15379094;33538000;R NONATO CARVALHO ME;S;N;S;N;28/01/2022;03/02/2022;01/02/2022;41,168;33,168;8;0;7,61188E+12
01M;93819368;33536879;ANTONIO EVALDO VIANA DE ANDRADE;N;;;;28/01/2022;31/01/2022;01/02/2022;1774,512;1701,012;0;73,5;6,33188E+13
21;67419467;33269303;J R C DIAS & CIA LTDA;N;;;;08/12/2021;13/12/2021;01/02/2022;1644,69;1570,64;0;74,05;1,52132E+13
21;67419559;33403038;J R C DIAS & CIA LTDA;N;;;;04/01/2022;10/01/2022;01/02/2022;616;534,84;0;81,16;1,52132E+13
20;70833769;33521629;NUBIA LAFAIETE DE SOUSA SILVA 0130415065;S;N;S;N;26/01/2022;03/02/2022;01/02/2022;62,585;53,105;9,48;7,11E-15;1,77898E+13
433;32466808;33546170;COMERCIAL BRAZAO & SANTOS LTDA - ME;N;;;;29/01/2022;01/02/2022;01/02/2022;477,64;414,16;0;63,48;2,3533E+13
01M;24020135;33538976;SUPERMERCADO NIDOBOX LTDA ME;S;N;S;N;28/01/2022;01/02/2022;01/02/2022;1434,408;1078,448;355,96;-2,27E-13;8,17838E+12
01M;24020143;33539051;SUPERMERCADO NIDOBOX LTDA ME;S;N;S;N;28/01/2022;01/02/2022;01/02/2022;261,265;142,69;118,575;0;8,17838E+12
421;68633350;33487269;INDUSTRIA LITORANEA DE ALIMENTACAO LIMIT;S;N;N;N;19/01/2022;27/01/2022;01/02/2022;84,316;60,892;23,424;0;6,8126E+12
20;46671032;33260483;QUEIROZ DISTRIBUIDORA LTDA EPP;S;N;N;S;01/12/2021;16/12/2021;01/02/2022;3,6;3,6;0;0;9,30503E+12
20;60950298;33539475;QUEIROZ DISTRIBUIDORA LTDA EPP;N;;;;28/01/2022;03/02/2022;01/02/2022;271,56;108,3;0;163,26;9,30503E+12
20;60950299;33539476;QUEIROZ DISTRIBUIDORA LTDA EPP;S;S;S;S;28/01/2022;03/02/2022;01/02/2022;42,96;42,96;0;0;9,30503E+12
433;59537155;33549380;COMERCIAL PRAIAS BELAS LTDA;N;;;;29/01/2022;04/02/2022;01/02/2022;1646,01;1507,37;0;138,64;5,95948E+12
421;65812615;33430500;MARIA AURINEIDE MONTEIRO ME;N;;;;10/01/2022;14/01/2022;01/02/2022;1145,33;1081,82;3;60,51;9,28027E+12
421;65812676;33491012;MARIA AURINEIDE MONTEIRO ME;S;N;N;S;20/01/2022;28/01/2022;01/02/2022;150;150;0;0;9,28027E+12
421;65812687;33513828;MARIA AURINEIDE MONTEIRO ME;S;N;S;N;25/01/2022;04/02/2022;01/02/2022;214,46;193,64;20,82;2,84E-14;9,28027E+12
421;42579480;33517725;MANOEL RODRIGUES PINTO ME;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;92,4;82;10,4;0;3,50108E+13
421;42579481;33517733;MANOEL RODRIGUES PINTO ME;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;88;88;0;0;3,50108E+13
421;42579482;33517734;MANOEL RODRIGUES PINTO ME;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;75;70,2;4,8;0;3,50108E+13
421;42579483;33517736;MANOEL RODRIGUES PINTO ME;S;N;N;N;25/01/2022;31/01/2022;01/02/2022;104,6;100,4;4,2;-1,42E-14;3,50108E+13
20;36585888;33531047;FRANCISCO UCHOA ALMINO ME;S;N;S;N;27/01/2022;03/02/2022;01/02/2022;357,48;329,43;28,05;0;6,17856E+12
20;36585889;33531049;FRANCISCO UCHOA ALMINO ME;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;16;16;0;0;6,17856E+12
421;92661872;33346278;DISTRIBUIDORA FACANHA COMERCIO DE ALIMEN;S;N;N;S;22/12/2021;23/12/2021;01/02/2022;28000;28000;0;0;9,42015E+12
01M;87385529;33531151;EDILSON BENTO DA SILVA ME;N;;;;27/01/2022;28/01/2022;01/02/2022;1435,136;1381,536;0;53,6;6,93698E+13
20;75150561;33521216;A. OSMAR PEREIRA - ME;S;N;N;N;20/01/2022;27/01/2022;01/02/2022;93,44;84,72;8,72;0;4,24903E+12
421;74844608;33525157;MARIA INES NOGUEIRA DE SOUSA - EPP;S;N;S;N;26/01/2022;03/02/2022;01/02/2022;80,544;69,744;10,8;0;3,13752E+12
421;92661907;33413892;DISTRIBUIDORA FACANHA COMERCIO DE ALIMEN;S;N;N;S;06/01/2022;19/01/2022;01/02/2022;14000;14000;0;0;9,42015E+12
01M;4790932;33537365;JULIO CESAR BARROS LEMOS 22894942320;S;N;N;S;27/01/2022;28/01/2022;01/02/2022;30;30;0;0;4,15118E+13
01M;4790939;33537385;JULIO CESAR BARROS LEMOS 22894942320;S;N;N;S;28/01/2022;31/01/2022;01/02/2022;40;40;0;0;4,15118E+13
20;59841422;33538812;TEREZA MARIA SOUZA DA SILVA 51965135315;S;N;N;S;28/01/2022;28/01/2022;01/02/2022;115,2;115,2;0;0;2,39751E+13
20;59841423;33538813;TEREZA MARIA SOUZA DA SILVA 51965135315;S;N;N;S;28/01/2022;28/01/2022;01/02/2022;115,2;115,2;0;0;2,39751E+13
21;59534568;33495489;ARMAZEM MATEUS S.A.;S;S;S;S;30/11/2021;09/02/2022;01/02/2022;6000;6000;0;0;2,34394E+13
21;59534579;33495620;ARMAZEM MATEUS S.A.;S;S;S;S;31/12/2021;11/02/2022;01/02/2022;15000;15000;0;0;2,34394E+13
21;59534580;33495619;ARMAZEM MATEUS S.A.;S;S;S;S;17/11/2021;10/02/2022;01/02/2022;104,4;104,4;0;0;2,34394E+13
21;59534582;33495674;ARMAZEM MATEUS S.A.;S;S;S;S;30/11/2021;10/02/2022;01/02/2022;330;330;0;0;2,34394E+13
21;6731688;33498571;ARMAZEM MATEUS S.A.;S;S;S;S;28/12/2021;10/02/2022;01/02/2022;350;350;0;0;2,34394E+13
21;8187516;33225458;ARMAZEM MATEUS S.A.;N;;;;17/11/2021;20/12/2021;01/02/2022;3625,2;2555,2;0;1070;2,34394E+13
21;8187531;33225517;ARMAZEM MATEUS S.A.;N;;;;30/11/2021;20/12/2021;01/02/2022;976,4;646,4;0;330;2,34394E+13
01M;42745023;33505354;WMB SUPERMERCADOS DO BRASIL LTDA;S;S;S;S;24/01/2022;25/02/2022;01/02/2022;40;40;0;0;63960022250
23;42746387;33546135;COMPANHIA BRASILEIRA DE DISTRIBUICAO;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;54,6;54,6;0;0;4,75084E+13
23;42746388;33546136;COMPANHIA BRASILEIRA DE DISTRIBUICAO;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;3,84;3,84;0;0;4,75084E+13
23;42746389;33546137;COMPANHIA BRASILEIRA DE DISTRIBUICAO;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;45;45;0;0;4,75084E+13
01M;45567556;33548516;CE VENDING ALIMENTOS E MAQUINAS AUTOMATICAS LTDA - ME;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;7,68;7,68;0;0;2,7798E+13
01M;10093467;33541484;DELICIAS DA VOVO IDE ALIMENTOS LTDA;S;N;S;N;28/01/2022;01/02/2022;01/02/2022;25,4;20;5,4;0;3,05392E+13
01M;10093468;33541485;DELICIAS DA VOVO IDE ALIMENTOS LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;15,28;14,919148;0,360852;0;3,05392E+13
421;6441056;33516033;J. L. DE OLIVEIRA MELO - ME;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;44,104;44,104;0;0;6,12673E+12
421;6441057;33516035;J. L. DE OLIVEIRA MELO - ME;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;273,6;273,6;0;0;6,12673E+12
421;6441058;33516037;J. L. DE OLIVEIRA MELO - ME;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;200;200;0;0;6,12673E+12
421;6441059;33516039;J. L. DE OLIVEIRA MELO - ME;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;160;160;0;0;6,12673E+12
421;6441060;33516040;J. L. DE OLIVEIRA MELO - ME;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;240;240;0;0;6,12673E+12
421;6441085;33534412;J. L. DE OLIVEIRA MELO - ME;S;N;S;N;27/01/2022;03/02/2022;01/02/2022;36,8;28,8;8;0;6,12673E+12
20;37840144;33518179;ROGERIO DANTAS POSSIDONIO ME;N;;;;25/01/2022;03/02/2022;01/02/2022;142,412;94,484;0;47,928;1,09972E+13
20;73166219;33548876;MARIA EMILIA SANTOS DE MORAIS 15598806860;S;S;S;S;31/01/2022;01/02/2022;01/02/2022;0,48;0,48;0;0;3,93275E+13
421;48313157;33515524;ANTONIO BEZERRA DA COSTA 02300123886;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;35;35;0;0;1,48805E+13
421;52552374;33521787;JEOVA FERREIRA CARDOSO ME;N;;;;26/01/2022;03/02/2022;01/02/2022;248,75;192,66;8;48,09;1,4733E+12
01M;59387663;33531636;M.E. COMERCIO VAREJISTA DE ALIMENTOSE DERIVADOS EIRELI - ME;N;;;;27/01/2022;28/01/2022;01/02/2022;350,71;316,08;0;34,63;3,97649E+13
21;66788919;33513963;R S MARQUES COMERCIO;N;;;;25/01/2022;04/02/2022;01/02/2022;76,584;57,224;0;19,36;3,32596E+13
421;48313162;33517271;TATIANA MARTINS LIMA 04821280388;S;S;S;S;25/01/2022;03/02/2022;01/02/2022;31,6;31,6;0;0;2,14878E+13
21;67419569;33440665;C H S ALVES - ME;N;;;;11/01/2022;17/01/2022;01/02/2022;499,44;477,108;0;22,332;6,65856E+11
421;42579528;33535906;W.R.S.MOURA DISTRIBUIDORA;S;S;S;S;28/01/2022;03/02/2022;01/02/2022;2;2;0;0;3,42791E+13
421;42579439;33481783;CARDOSO DISTRIBUIDORA DE ALIMENTOS LTDA;N;;;;18/01/2022;27/01/2022;01/02/2022;151,91;107,08;8;36,83;8,30981E+12
20;35474061;33495973;FRANCISCO SARAIVA CRUZ;N;;;;21/01/2022;27/01/2022;01/02/2022;59,66;11,96;0;47,7;7,32505E+12
20;35474099;33533247;FRANCISCO SARAIVA CRUZ;S;S;S;S;27/01/2022;03/02/2022;01/02/2022;120;120;0;0;7,32505E+12
20;75150572;33498429;FRANCISCO JOSE DE SOUSA ALIMENTICIOS ME;N;;;;21/01/2022;27/01/2022;01/02/2022;217,352;171,38;0;45,972;4,14171E+13
421;39501621;33520598;FRANCISCO ALESSANDRO ARAUJO DE QUEIROZ M;S;N;S;N;26/01/2022;03/02/2022;01/02/2022;182,04;111,24;70,8;0;1,6159E+12
421;65812679;33495993;MAYCON OLIVEIRA DE ALMEIDA;S;N;N;N;21/01/2022;27/01/2022;01/02/2022;26,64;19,44;7,2;0;2,9321E+13
01M;4790940;33542275;CARLOS DIEGO DE SOUZA VISGUEIRA 02670170307;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;480;480;0;0;2,88132E+13
01M;4790941;33542278;CARLOS DIEGO DE SOUZA VISGUEIRA 02670170307;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;7,8;7,8;0;0;2,88132E+13
20;75150586;33508687;A GRANGEIRO GONCALVES;S;N;S;N;24/01/2022;03/02/2022;01/02/2022;56,08;49;7,08;0;4,27752E+12
01M;42746105;33543214;WMS SUPERMERCADOS DO BRASIL LTDA;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;50;50;0;0;9,32098E+13
01M;42746106;33543221;WMS SUPERMERCADOS DO BRASIL LTDA;N;;;;28/01/2022;01/02/2022;01/02/2022;6300;3300;0;3000;9,32098E+13
01M;42746123;33543218;WMS SUPERMERCADOS DO BRASIL LTDA;N;;;;28/01/2022;01/02/2022;01/02/2022;1138,62;881,82;0;256,8;9,32098E+13
01M;42746179;33543223;WMS SUPERMERCADOS DO BRASIL LTDA;N;;;;28/01/2022;01/02/2022;01/02/2022;1350,92;1037;4,8;309,12;9,32098E+13
421;15378997;33460057;FRANCISCO DAS CHAGAS DE MENEZES 53955072304;S;N;N;N;14/01/2022;20/01/2022;01/02/2022;122,448;103,088;19,36;0;3,22811E+13
421;15379096;33538386;FRANCISCO DAS CHAGAS DE MENEZES 53955072304;S;S;S;S;28/01/2022;03/02/2022;01/02/2022;107,488;107,488;0;0;3,22811E+13
20;37840022;33405714;F. M. ANDRADE COSTA;N;;;;05/01/2022;13/01/2022;01/02/2022;119,464;85,034;0;34,43;3,13728E+13
20;37840142;33514316;F. M. ANDRADE COSTA;N;;;;25/01/2022;03/02/2022;01/02/2022;150,42;107,8;0;42,62;3,13728E+13
01M;24020133;33538948;SUPERMERCADO NIDOBOX LTDA ME;S;N;S;N;28/01/2022;01/02/2022;01/02/2022;1445,672;1073,272;372,4;0;8,17838E+12
01M;24020141;33539115;SUPERMERCADO NIDOBOX LTDA ME;S;N;S;N;28/01/2022;01/02/2022;01/02/2022;273,29;162,145;111,145;0;8,17838E+12
421;26912102;33490843;FRANCISCO ANDERSON DA SILVA SOUZA 61126739324;S;N;N;N;20/01/2022;27/01/2022;01/02/2022;123,18;114,6;8,58;1,42E-14;3,78222E+13
421;64692926;33535719;CLEITON MORAIS LOPES - ME;N;;;;28/01/2022;03/02/2022;01/02/2022;696,642;510,612;16;170,03;7,40317E+13
421;64692927;33535720;CLEITON MORAIS LOPES - ME;N;;;;28/01/2022;03/02/2022;01/02/2022;237,9;202,5;0;35,4;7,40317E+13
21;66788923;33525629;FABIO LIMA SOUSA 01969874317;S;S;S;S;26/01/2022;03/02/2022;01/02/2022;42;42;0;0;3,23255E+13
21;40210583;33547120;M A R COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI - EPP;S;N;N;S;27/01/2022;31/01/2022;01/02/2022;3000;3000;0;0;2,19379E+13
421;52552401;33525352;MARIA LUZIMARIA SOUZA DE OLIVEIRA 03007225329;S;S;S;S;26/01/2022;03/02/2022;01/02/2022;48,5;48,5;0;0;4,36066E+13
433;8012496;33336579;EXPRESSO DISTRIBUICAO E VAREJO LTDA;S;N;N;S;21/12/2021;22/12/2021;01/02/2022;1114,54;1114,54;0;0;1,11558E+13
23;51410860;33543880;F M FERREIRA DE SOUSA;S;N;S;N;29/01/2022;01/02/2022;01/02/2022;137,88;71,48;66,4;0;7,38075E+13
421;6441092;33537635;FREITAS FERREIRA COM DE DERIVADOS DE PET;S;N;S;N;28/01/2022;03/02/2022;01/02/2022;39,8;38,6;1,2;-7,11E-15;7,2859E+12
21;67419479;33274132;F GOMES DE OLIVEIRA COMERCIO;S;N;N;S;10/12/2021;15/12/2021;01/02/2022;218,625;218,625;0;0;4,16171E+13
21;67419634;33531001;F GOMES DE OLIVEIRA COMERCIO;S;S;S;S;27/01/2022;02/02/2022;01/02/2022;20;20;0;0;4,16171E+13
426;61416806;33490454;N. DE S. RODRIGUES EIRELI - ME;S;N;N;N;20/01/2022;24/01/2022;01/02/2022;1003,284;705,664;297,62;0;2,15932E+13
21;23655631;33512720;ANTONIO J DA COSTA - ME;S;N;N;N;17/01/2022;27/01/2022;01/02/2022;272,576;197,356;75,22;0;1,97258E+13
21;23655667;33512727;ANTONIO J DA COSTA - ME;S;N;N;S;21/01/2022;27/01/2022;01/02/2022;48;48;0;0;1,97258E+13
433;32466737;33418206;SUPERMERCADO NO PRECO LTDA - EPP;N;;;;07/01/2022;10/01/2022;01/02/2022;139,3;120,7;0;18,6;2,11344E+13
433;32466767;33460534;SUPERMERCADO NO PRECO LTDA - EPP;N;;;;14/01/2022;17/01/2022;01/02/2022;241,46;213,56;0;27,9;2,11344E+13
433;32466768;33460535;SUPERMERCADO NO PRECO LTDA - EPP;N;;;;14/01/2022;17/01/2022;01/02/2022;415,245;378,945;0;36,3;2,11344E+13
433;32466769;33460536;SUPERMERCADO NO PRECO LTDA - EPP;S;N;N;S;14/01/2022;17/01/2022;01/02/2022;227;227;0;0;2,11344E+13
426;61416843;33522241;C GOMES DE MELO;S;N;S;N;26/01/2022;03/02/2022;01/02/2022;130,08;103,98;26,1;0;2,5866E+12
23;90065063;33520215;JORGE BATISTA & CIA LTDA;S;N;S;N;25/01/2022;01/02/2022;01/02/2022;300;150;150;0;7,22219E+12
23;90065064;33520287;JORGE BATISTA & CIA LTDA;S;S;S;S;25/01/2022;01/02/2022;01/02/2022;380;380;0;0;7,22219E+12
23;90065067;33527471;JORGE BATISTA & CIA LTDA;S;N;S;N;26/01/2022;09/02/2022;01/02/2022;1946,27;1290,06;656,21;0;7,22219E+12
23;90065068;33527477;JORGE BATISTA & CIA LTDA;S;N;N;N;26/01/2022;31/01/2022;01/02/2022;4717,287;3847,103;870,184;0;7,22219E+12
23;90065073;33531247;JORGE BATISTA & CIA LTDA;S;N;S;N;27/01/2022;09/02/2022;01/02/2022;379,84;371,84;8;0;7,22219E+12
433;32466733;33403308;ARAUJO & DANTAS LTDA - EPP;S;N;N;N;04/01/2022;10/01/2022;01/02/2022;167,94;160,14;7,8;-2,84E-14;7,00255E+13
421;39501611;33506722;JOSE MARIA DE MOURA JUNIOR ME;S;N;N;N;24/01/2022;27/01/2022;01/02/2022;105,484;87,084;18,4;-1,42E-14;1,37107E+13
01M;42740764;33344073;WMS SUPERMERCADOS DO BRASIL LTDA;S;N;N;N;21/12/2021;30/12/2021;01/02/2022;254;166;88;0;9,32098E+13
01M;42743122;33427948;WMS SUPERMERCADOS DO BRASIL LTDA;S;N;N;S;10/01/2022;18/01/2022;01/02/2022;80;80;0;0;9,32098E+13
01M;42743162;33428218;WMS SUPERMERCADOS DO BRASIL LTDA;S;N;N;S;10/01/2022;18/01/2022;01/02/2022;1000;1000;0;0;9,32098E+13
421;48313161;33517269;ELIETE PAULO DA SILVA MERCADINHO - ME;N;;;;25/01/2022;03/02/2022;01/02/2022;110,95;75,805;0;35,145;2,47963E+13
426;89873731;33460423;SILVANA P. S. DE SOUSA-ME;N;;;;14/01/2022;20/01/2022;01/02/2022;1440;1303,2;0;136,8;1,11874E+13
23;25995771;33520840;MARQUES & LIMA LTDA.;S;S;S;S;25/01/2022;01/02/2022;01/02/2022;586;586;0;0;5,91238E+12
21;40210574;33529762;PILAR COMERCIO DE ALIMENTOS LTDA - ME;S;N;N;S;26/01/2022;28/01/2022;01/02/2022;12500;12500;0;0;2,43324E+13
21;40210575;33529763;PILAR COMERCIO DE ALIMENTOS LTDA - ME;S;N;N;S;26/01/2022;31/01/2022;01/02/2022;12500;12500;0;0;2,43324E+13
421;42510952;33486754;TRES Y COMERCIAL DE ALIMENTOS LTDA;S;N;N;N;19/01/2022;27/01/2022;01/02/2022;244,32;227,04;17,28;0;2,12612E+13
421;42510997;33537381;TRES Y COMERCIAL DE ALIMENTOS LTDA;S;S;S;S;28/01/2022;03/02/2022;01/02/2022;3500;3500;0;0;2,12612E+13
421;42510998;33537382;TRES Y COMERCIAL DE ALIMENTOS LTDA;S;S;S;S;28/01/2022;03/02/2022;01/02/2022;175;175;0;0;2,12612E+13
20;37840141;33514314;M. A. ROSA NORONHA ME;S;N;S;N;25/01/2022;03/02/2022;01/02/2022;68,92;64,24;4,68;1,42E-14;1,10027E+13
20;27439304;33544465;DISTRIBUIDORA DE ALIMENTOS FL LTDA;S;S;S;S;29/01/2022;01/02/2022;01/02/2022;510;510;0;0;3,00954E+13
20;47486702;33402365;EVERTON LUCAS DOS SANTOS ME;S;N;N;N;04/01/2022;13/01/2022;01/02/2022;32,96;24,46;8,5;0;1,36274E+13
20;47486793;33520524;EVERTON LUCAS DOS SANTOS ME;S;N;S;N;26/01/2022;03/02/2022;01/02/2022;30;22;8;0;1,36274E+13
20;73166170;33537480;CARIRI CENTER SUPERMERCADOS EIRELI;S;N;S;N;27/01/2022;01/02/2022;01/02/2022;1089,393;889,126;200,267;0;1,5689E+13
20;73166177;33537498;CARIRI CENTER SUPERMERCADOS EIRELI;S;N;S;N;27/01/2022;01/02/2022;01/02/2022;6830;6727;103;0;1,5689E+13
20;73166192;33539366;CARIRI CENTER SUPERMERCADOS EIRELI;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;185,75;185,75;0;0;1,5689E+13
20;73166193;33539367;CARIRI CENTER SUPERMERCADOS EIRELI;S;S;S;S;28/01/2022;01/02/2022;01/02/2022;54,6;54,6;0;0;1,5689E+13
